Date,long,lat
16/07/2010,13.02,55.99
16/07/2010,8.78,54.01
17/07/2010,7.79,54.64
18/07/2010,-4.57,46.34
18/07/2010,-2.81,44.84
19/07/2010,-2.3,45.44
19/07/2010,-2.04,45.32
19/07/2010,4.96,51.11
20/07/2010,5.22,51.06
20/07/2010,7.73,52.82
21/07/2010,8.23,52.63
22/07/2010,1.49,47.76
22/07/2010,0.99,48.32
23/07/2010,-4,43.72
23/07/2010,-2.75,42.49
24/07/2010,0.76,46.27
24/07/2010,-0.74,47.8
25/07/2010,-1.24,47.49
25/07/2010,-1.74,48.09
26/07/2010,-4.49,45.64
26/07/2010,-3.49,44.76
27/07/2010,-3.49,44.91
27/07/2010,-2.99,44.53
28/07/2010,1.76,49.29
28/07/2010,3.51,47.88
28/07/2010,3.25,47.81
01/08/2010,8.21,54.06
02/08/2010,9.45,53.34
02/08/2010,4.69,49.58
03/08/2010,3.43,50.9
04/08/2010,-2.08,45.54
05/08/2010,-1.37,43.38
08/08/2010,7.28,51.32
09/08/2010,7.01,51.77
14/08/2010,7.78,49.71
15/08/2010,7,50.83
15/08/2010,4.35,47.92
16/08/2010,7.95,42.85
16/08/2010,6.93,41.42
17/08/2010,5.78,43.63
17/08/2010,7.87,47.16
18/08/2010,8.1,47.09
18/08/2010,7.32,46.28
19/08/2010,7.04,46.96
19/08/2010,9.39,50.51
20/08/2010,8.61,51.73
20/08/2010,8.33,51.73
28/08/2010,13.16,53.01
29/08/2010,15.87,49.04
29/08/2010,12.96,43.7
30/08/2010,12.17,45.77
30/08/2010,10.26,41.88
31/08/2010,10.72,41.04
31/08/2010,6.93,29.41
01/09/2010,6.14,32.67
01/09/2010,6.6,34.89
02/09/2010,6.56,35.36
02/09/2010,6.39,35.4
03/09/2010,5.98,37.18
03/09/2010,5.44,35.95
04/09/2010,6.02,34.14
04/09/2010,5.1,31.07
05/09/2010,5.06,31.58
05/09/2010,2.02,15.92
06/09/2010,-0.77,31.56
07/09/2010,-3.94,14.08
07/09/2010,-3.99,14.44
08/09/2010,-3.78,16.65
08/09/2010,-3.2,12.27
09/09/2010,-0.74,29.46
09/09/2010,0.47,22.46
09/09/2010,0.68,24.69
10/09/2010,2.01,14.91
10/09/2010,2.71,21.48
11/09/2010,2.67,22.07
11/09/2010,2.5,21.71
12/09/2010,1.96,26.18
12/09/2010,1.04,19.81
13/09/2010,0.74,22.67
13/09/2010,1.07,26.49
14/09/2010,1.53,23.03
14/09/2010,1.73,26.03
15/09/2010,2.06,23.43
15/09/2010,1.89,23.03
17/09/2010,1.89,18.31
17/09/2010,2.34,25.47
18/09/2010,2.3,26.55
18/09/2010,1.63,19.43
20/09/2010,5.45,31.4
21/09/2010,5.41,32.88
22/09/2010,4.65,28.97
23/09/2010,4.35,34.84
23/09/2010,4.81,42.66
24/09/2010,5.14,40.43
24/09/2010,4.72,37.47
25/09/2010,4.81,37.88
25/09/2010,4.64,38.36
26/09/2010,4.59,41.12
26/09/2010,4.3,39.6
27/09/2010,3.76,49.87
27/09/2010,3.09,43.96
28/09/2010,3.3,42.55
29/09/2010,0.84,63.52
29/09/2010,0.05,61.01
30/09/2010,0.38,60.79
